City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
608,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
609,Govindgarh,IN,84.38,clear sky,27.5,76.9833,Manoj Rajput
610,Carlsbad,US,74.66,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
611,Marang,MY,80.51,overcast clouds,5.2056,103.2059,DBarakah Homestay
613,Tabursuq,TN,68.29,clear sky,36.4569,9.2475,asma coin de beauté
614,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
617,Jieshi,CN,77.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
619,Erzin,TR,82.92,few clouds,36.9559,36.2,Artemis Otel
620,Byron Bay,AU,66.16,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
622,Nabire,ID,76.75,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
624,Wonogiri,ID,76.64,overcast clouds,-7.8144,110.9259,Hotel Diafan Wonogiri
625,Pringsewu,ID,75.0,broken clouds,-5.3582,104.9744,Urban Style by Front One
626,Sinnamary,GF,87.01,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
